Time	phi	a	y	
0	-1.529027566442495	-0.13241971626909432	-1.363250405321472
0.2	-1.466181619253909	-0.06626462173384695	-1.269234993367246
0.4	-2.073748341827296	-0.08862278350867392	-1.175219581413007
0.6	-2.765306080866855	-0.17691731946687383	-1.081204169458767
0.8	-3.373254700371751	-0.042612667893893175	-1.101483542978494
1	-4.065363914252216	-0.15707576976109472	-1.236057701972136
1.2	-3.530521534004623	0.045090316350115955	-1.370631860965816
1.4000000000000001	-4.285658901697704	-0.5481736999466413	-1.505206019959458
1.6	-6.081225595744661	-0.3549140760220393	-1.639780178953138
1.8	-7.95447096831605	-0.6883030086526354	-1.688425290109526
2	-9.410522596940687	-0.47091392835270085	-1.65114135342866
2.2	-9.822707117936618	-0.7543508844255697	-1.613857416747794
2.4	-10.01305685678937	-0.4877577977965508	-1.576573480066923
2.6	-9.431652440035585	-0.8224816470371987	-1.539289543386057
2.8000000000000003	-9.42108741425737	-0.6125521986597882	-1.473196458560338
3	-9.252075190863012	-0.6911385947057536	-1.378294225589765
3.2	-8.502702101131296	-0.7913952246615175	-1.283391992619193
3.4	-8.808664872030716	-0.31673824748903456	-1.188489759648621
3.6	-8.840325440027938	-0.7831494252291016	-1.093587526678048
3.8000000000000003	-9.188709166790293	-0.6858063121931934	-1.133056477040421
4	-7.480424556953241	-0.6910621493499747	-1.306896610735765
4.2	-5.702925250732576	0.006492813609293435	-1.480736744431083
4.4	-4.212222730790658	-0.6714837007488761	-1.654576878126427
4.6000000000000005	-3.383738628857141	-0.5122349249300218	-1.82841701182177
4.8	-3.048288510885093	0.07266613610283912	-1.962757174544488
5	-2.838667464515761	-0.12707668536116046	-2.057597366294631
5.2	-2.660509243834154	-0.16861509892414084	-2.152437558044748
5.4	-1.80137459584031	0.06301188063302376	-2.247277749794891
5.6000000000000005	-0.3141602989056156	0.17642825833181774	-2.342117941545008
5.8	-0.1466077622061612	0.24368253802853346	-2.264369543795734
6	0.8377776405367181	0.16724436134811782	-2.014032556547042
6.2	2.031842787732766	0.12407776565681594	-1.76369556929835
6.4	1.591874721185426	0.24455660998063955	-1.513358582049658
6.6000000000000005	2.377586299226623	0.28169753390701047	-1.263021594800967
6.8	2.199469431199964	0.37165154036005177	-0.9573996453132175
7	1.948033804742326	-0.002543682759226229	-0.59649273358636
7.2	2.796746305073485	0.25952721740853946	-0.2355858218595532
7.4	3.257936324761474	0.17451991603048	0.1253210898673043
7.6000000000000005	2.932993740811256	0.1917522006051442	0.4862280015941618
7.8	2.901551077561277	0.34083943269607175	0.6195273826660135
8	3.100697882857225	0.12915753004443253	0.5252192330829099
8.2	3.834620896994752	0.3520254066140094	0.4309110834998063
8.4	4.862824258161813	0.37409065859050905	0.3366029339167027
8.6	5.440313012075197	0.27421115634380655	0.2422947843335991
8.8	5.955106740302081	0.2830849926807488	0.3601147053442635
9	7.343540959262393	0.4343274024761534	0.6900626969486958
9.200000000000001	7.333012591832349	0.43016093396932575	1.020010688553175
9.4	8.914206948931083	0.5904129879558351	1.349958680157607
9.6	9.315448582616156	0.636835150821069	1.679906671762039
9.8	9.252075190863012	0.5671978323959603	2.040282980264162
10	8.850879353188454	0.7192209215187706	2.431087605664032
10.200000000000001	8.935317721496247	0.7182968947244017	2.821892231063845
10.4	9.484480704176573	0.8899305240599897	3.21269685646366
10.6	9.357701628955265	0.7338671723677415	3.603501481863529
10.8	9.516180179427616	0.8991334706537124	3.374100278383355
11	9.621858822254602	0.7772259924156089	2.524493246023193
11.200000000000001	9.37882939338117	0.7493682664903023	1.674886213663032
11.4	8.882542267471026	0.6374164414260974	0.8252791813029892
11.6	8.386688892516043	0.5001599967177306	-0.02432785105717272
11.8	7.76481094234816	0.4389362824510634	-0.3375500847677844
12	7.406714572595516	0.5724168535921947	-0.1143875198288143
12.200000000000001	6.964619925717622	0.6333992622445273	0.1087750451101557
