a	y
-2.3649227856870745	-1.413656850019207
-0.6371933311809457	-1.55298983113194
-0.6732978922293604	-1.692322812244634
-1.4475460426142206	-1.831655793357328
-1.7663697526276216	-1.850552444784272
-1.862988462201674	-1.856067281801671
-1.6624501121348594	-1.86158211881907
-0.929436904751082	-1.867096955836469
-1.7343088839126715	-1.872611792853867
-2.1238579085534894	-1.776015061696348
-1.4890632679786826	-1.668072600741628
-2.6626359649235702	-1.560130139786877
-3.3040164929267206	-1.452187678832157
-2.527053869152436	-1.344245217877407
-2.2826646362674374	-1.261563795403358
-2.6085987928544725	-1.181689154982714
-3.333498854803775	-1.101814514562069
-3.141829963295905	-1.021939874141425
-2.825819101798345	-0.9420652337207578
-3.1563650810344477	-1.366401497942679
-3.399843254357677	-1.846761196013719
-3.8851249909881425	-2.327120894084759
-3.6648273536409626	-2.807480592155799
-3.8309426557716044	-3.287840290226975
-3.891037575523459	-3.345164375037708
-3.607165137243296	-3.355484502819562
-3.2578511047449297	-3.365804630601415
-3.488011261352007	-3.376124758383269
-3.6298161989445177	-3.386444886165126
-3.4544475384857307	-2.948253852169483
-3.216328709873327	-2.460228244643084
-1.9014405963654042	-1.972202637116548
-1.7381048549624118	-1.48417702959015
-1.6565327908692886	-0.9961514220637517
-1.2550278533164878	-0.5046384989633486
-1.3493541641609035	-0.01273809635483047
-1.130799271355663	0.4791623062536876
-0.3895683665360963	0.9710627088622057
-0.4274739785005508	1.462963111470724
0.4051753251405472	1.651178407633054
1.3191572030890555	1.805650914190267
3.2402189736250406	1.96012342074748
4.977645892184498	2.114595927304694
2.284170127292711	2.269068433861951
1.945966612326874	3.180809762822654
1.4251299219903437	4.176692072050458
2.2004402426379386	5.172574381278261
4.921235775257372	6.168456690505784
5.524340234406317	7.164338999733587
7.1246401368512835	7.840421561622058
7.748813777665042	8.48097081825045
7.10694002859951	9.121520074879024
8.104333172370623	9.762069331507416
5.348392645124875	10.40261858813581
8.17012955277918	9.838373331159996
8.02946518417366	9.140262017117054
6.833559113551644	8.442150703074113
7.959628356466716	7.744039389031173
4.947244174835916	7.045928074988034
6.100525131837394	6.779938712505928
4.1351847534796775	6.561962900197169
5.909862091373604	6.343987087888408
4.411110747143084	6.126011275579648
5.0218762346239885	5.908035463270887
4.443439080359653	5.499978630219396
4.0003570124156695	5.070801683752108
2.305332511125229	4.641624737284697
1.047801421998507	4.212447790817408
0.15933742574508614	3.783270844350119
0.14937603667429755	3.427161843442418
0.5418471173839343	3.079171503152537
